temp,atemp,humidity,windspeed,year,season,month,weekday,hour,workingday,holiday,weather,casual,registered,tot
9.84,14.395,81.0,0.0,2011,1,1,5,0,0,0,1,3,13,16
9.02,13.635,80.0,0.0,2011,1,1,5,1,0,0,1,8,32,40
9.02,13.635,80.0,0.0,2011,1,1,5,2,0,0,1,5,27,32
9.84,14.395,75.0,0.0,2011,1,1,5,3,0,0,1,3,10,13
9.84,14.395,75.0,0.0,2011,1,1,5,4,0,0,1,0,1,1
9.84,12.88,75.0,6.0032,2011,1,1,5,5,0,0,2,0,1,1
9.02,13.635,80.0,0.0,2011,1,1,5,6,0,0,1,2,0,2
8.2,12.88,86.0,0.0,2011,1,1,5,7,0,0,1,1,2,3
9.84,14.395,75.0,0.0,2011,1,1,5,8,0,0,1,1,7,8
13.12,17.425,76.0,0.0,2011,1,1,5,9,0,0,1,8,6,14
15.58,19.695,76.0,16.9979,2011,1,1,5,10,0,0,1,12,24,36
14.76,16.665,81.0,19.0012,2011,1,1,5,11,0,0,1,26,30,56
17.22,21.21,77.0,19.0012,2011,1,1,5,12,0,0,1,29,55,84
18.86,22.725,72.0,19.9995,2011,1,1,5,13,0,0,2,47,47,94
18.86,22.725,72.0,19.0012,2011,1,1,5,14,0,0,2,35,71,106
18.04,21.97,77.0,19.9995,2011,1,1,5,15,0,0,2,40,70,110
17.22,21.21,82.0,19.9995,2011,1,1,5,16,0,0,2,41,52,93
18.04,21.97,82.0,19.0012,2011,1,1,5,17,0,0,2,15,52,67
17.22,21.21,88.0,16.9979,2011,1,1,5,18,0,0,3,9,26,35
17.22,21.21,88.0,16.9979,2011,1,1,5,19,0,0,3,6,31,37
16.4,20.455,87.0,16.9979,2011,1,1,5,20,0,0,2,11,25,36
16.4,20.455,87.0,12.998,2011,1,1,5,21,0,0,2,3,31,34
16.4,20.455,94.0,15.0013,2011,1,1,5,22,0,0,2,11,17,28
18.86,22.725,88.0,19.9995,2011,1,1,5,23,0,0,2,15,24,39
18.86,22.725,88.0,19.9995,2011,1,1,6,0,0,0,2,4,13,17
18.04,21.97,94.0,16.9979,2011,1,1,6,1,0,0,2,1,16,17
17.22,21.21,100.0,19.0012,2011,1,1,6,2,0,0,2,1,8,9
18.86,22.725,94.0,12.998,2011,1,1,6,3,0,0,2,2,4,6
18.86,22.725,94.0,12.998,2011,1,1,6,4,0,0,2,2,1,3
17.22,21.21,77.0,19.9995,2011,1,1,6,6,0,0,3,0,2,2
